Title,URL,Address,Compensation,Employment Type,Description
Revit Operator - Part or Full Time,https://newyork.craigslist.org/mnh/egr/d/new-york-revit-operator-part-or-full/7059720832.html,SoHo,Hourly depending on skill level,contract,"
        
We seek IMMEDIATE help with a skilled Revit user for documentation on a single-family house. This is a posting only for experienced Revit users.

Work can last as short as one month, full-time, with potential to transition to permanent full-time depending on performance. 

Applicants must demonstrate complete mastery of Revit, including the following tasks:
- General documentation;
- Building all types of families from scratch;
- Modeling of sophisticated geometries in a way that permits them to be documented.

While architecture experience is not a requirement, it is a benefit.

Please forward a resume and a PDF that includes past Revit work. Particularly attention will be given to applicants who can show construction documents from Revit.    "
Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer/7058057923.html,Murray Hill,"This role offers a salary based on experience and a rich benefits package with inclusion in the company’s profit sharing, 401k, medical, and dental programs.",full-time,"
        
Amuneal is looking to add an experienced interior designer to our team. This multi-faceted role will collaborate with our in-house Sales and Design team and clients at our NYC showroom to:
•	Review clients’ plans to identify opportunities for our products and product offerings.
•	Provide our clients with design options and pricing for Amuneal fabricated products and offerings based on the needs of their space.
•	Collaborate with our Clients to develop bespoke furniture and architectural elements to support and expand their projects.
•	Develop new product and furniture offerings.
•	Support the on-going design needs within our showroom and each of our facilities.

Candidates must have experience in high-end design and must be proficient in conveying design ideas through hand-sketching and software. In addition to creating design options and layouts, the role will be integral to developing and revising pricing, documenting our scope of work through written proposals and working through the details of each project with our engineers, project managers and fabrication team.

The role is NYC based, but will include travel between our NYC showroom and our Philadelphia fabrication facility, as required, to support our customers and our internal teams.

Required Skills + Traits:
Clean Design Aesthetic: Ability to translate conversations into designs aligned with Amuneal’s aesthetic and product quality.
Strong Social Skills and Professionalism: Be articulate, creative, energetic, disciplined, and flexible while communicating with clients directly and representing the Amuneal brand.
Problem Solve: Solutions to problems aren’t always apparent: must be able to think creatively and develop solutions to challenges relating to design/fabrication as well as sales initiatives. Draw actionable insights from meetings and conversations.
Passionate Learning: Must be eager to learn about Amuneal’s history, projects, and processes.
Comprehension of Basic Construction Principles: Blocking, wiring, field tolerances, logistics, etc.
Diligence: Dedication to stay on top of projects and push them forward to meet deadlines.
Self-motivation/Initiative:  Take ownership of projects.
Time Management:  Manage your own time and work under pressure on several simultaneous project with a clear timeline of completion.

Please submit cover letter, resume and at least 5 examples of relevant work including 1 hand drawn sample.

Please be sure to include your full name and the position you are applying for in your email subject.
    "
In-house Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-in-house-interior-designer/7058060220.html,Murray Hill,"This role offers a salary based on experience and a rich benefits package with inclusion in the company’s profit sharing, 401k, medical, and dental programs.",full-time,"
        
Amuneal is looking to add an experienced interior designer to our team. This multi-faceted role will collaborate with our CEO, our Senior Design Consultant and our in-house Sales and Design team to:
•	Provide our clients with bespoke configurations of our current product offerings based on the needs of their space.
•	Collaborate with our Clients to develop bespoke furniture and architectural elements to complement and expand their projects.
•	Develop new product and furniture offerings.
•	Support the on-going design needs within our showroom and each of our facilities.

Candidates must have experience in high-end design and proficiency conveying design ideas through hand-sketching and software. In addition to creating design options and layouts, this role will be integral to developing and revising pricing, documenting our scope of work through written proposals and working through the details of each project with our engineers, project managers, and fabrication team.

The role can be based in either NYC or Philadelphia, but will include travel between the two, as required, to support our customers and our internal teams.

Required Skills + Traits:
Clean Design Aesthetic: Ability to translate conversations into designs aligned with Amuneal’s aesthetic and product quality.
Strong Social Skills and Professionalism: Be articulate, creative, energetic, disciplined, and flexible while communicating with clients directly and representing the Amuneal brand.
Problem Solve: Solutions to problems aren’t always apparent: must be able to think creatively and develop solutions to challenges relating to design/fabrication as well as sales initiatives. Draw actionable insights from meetings and conversations.
Passionate Learning: Must be eager to learn about Amuneal’s history, projects, and processes.
Comprehension of Basic Construction Principles: Blocking, wiring, field tolerances, logistics, etc.
Diligence: Dedication to stay on top of projects and push them forward to meet deadlines.
Self-motivation/Initiative:  Take ownership of projects.
Time Management:  Manage your own time and work under pressure on several simultaneous project with a clear timeline of completion.

Please submit cover letter, resume and at least 5 examples of relevant work including 1 hand drawn sample.

Please be sure to include your full name and the position you are applying for in your email subject.    "
Project Manager Assistant  / Office Manager Assistant,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-assistant/7058063076.html,Brooklyn,Compensation,full-time,"
        


We are Currently looking for a Project Managers Assistant and Office Manager Assistant with Experience 

Office Manager Assistant  Experience Requirements: 
 
 * Looking for a FEMALE    
 * Microsoft Office 
 * Customer Service & Sales 
 * Billing & Bookkeeping 
 * Online Researching and Advertising 
 * Appointment Scheduling
 * Multi Language Russian or Spanish is a plus but not required..

Project Manager Assistant Experience Requirements:

 * Looking for a MALE 
 * Minimum Construction Experience 4 years
 * Ability to read construction drawings
 * Knowledge and experience in estimating 
 * Ability to provide Daily safety orientation 
 * Daily Construction Reports 
 * 30 Hours OSHA
 * Clean Driving Record - No Felonies  

Please email your resume and we will certainly get back to you:

Office Phone:  (718) 489-9405     Please DO NOT CALL if you don't match our requirements listed above.. 
 



    "
Facade / Building Envelope Project Manager,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7058072439.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled structural engineer or architect with 5 to 6 years of building envelope restoration experience if licensed, and 7 to 10 years' experience if not licensed, to join us as a Project Manager  in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Facade / Building Envelope Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7058077980.html,TriBeCa,Commensurate with experience,full-time,"
        
 

 New York City's leading professional firm dedicated to exterior restoration of buildings and infrastructure, is seeking Architects and Engineers to help execute a growing slate of challenging projects. We’re currently considering candidates for a range of roles, from entry-level to 10 or more years of building-envelope experience.  
We offer the resources of a large firm with the collaborative culture of a smaller studio, plus access to industry-leading technology and an in-house non-destructive testing lab.
If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio.
    "
Construction Plans Estimator,https://newyork.craigslist.org/fct/egr/d/stamford-construction-plans-estimator/7058209698.html,Stamford,Salary: $15.00 to $20.00 /hour,full-time,"
        
Here at Energy Spray Systems, we are looking for an individual who has a basic familiarity with thermal envelope systems and is responsible for appropriately evaluating insulation and waterproofing materials used for given projects as provided by plans, specifications, and/or communication with our clients, builders, and architects. You will become familiar with our competitive advantages as an organization and will be able to communicate those to our benefit throughout the bidding process of both residential and commercial project. 

Responsibilities
•	Preparing detailed and accurate insulation project takeoffs and estimates.
•	Reading and understanding plan drawings and specifications and interfacing with general contractors and architects.
•	Proposing and negotiating innovative and cost-saving solutions to our clients.
•	Understanding project goals, deadlines and revising estimates as necessary throughout the bidding process.
•	Maintaining knowledge of prior experience and new competitive advantages in the industry to aid in the bidding process.
•	Obtaining up to date and accurate prices for thermal system materials. 


Requirements and Qualifications
•	Must be able to work on-site at our office in Stamford. 
•	1 – 3 years of construction or architecture experience; insulation/waterproofing systems experience preferred.
•	Basic knowledge of insulation and waterproofing products. 
•	Proficiency in Microsoft Office software.
•	Knowledge and experience using construction estimating software preferred; for example, Bluebeam Revu. 
•	Strong blueprint/plan-reading skills.
•	Solid understanding of basic mathematical principles
•	Stable work history.
•	Highly organized and detail oriented. 
•	Strong problem-solving skills.
•	Excellent time management skills, with adherence to milestones and deadlines.
•	Ability to handle large amounts of data entry and analysis.
    "
Top Architectural Metal  + Glass Company looking for drafter/engineer!,https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7058321558.html,Woodside,"Negotiable, 401K, Profit Sharing.",full-time,"
        
We are one of the top architectural metal and glass fabrication and installation companies in New York.  We work with fortune 500 company clients and the top architects in the city.  We are looking for an engineer that is proficient in CAD, understand construction processes and architectural details.  We are willing to train the right person.  You are self motivated, a problem solver and can work out vague details into something that can be built.   Join our team and enjoy a long term career opportunity, competitive pay and benefits.  Please send your resume along with some sample of your CAD work (the more detailed the better).    "
Drafter/Estimator Experienced in steel fabrication,https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/7058453556.html,college point queens,25,full-time,"
        
We are seeking an in house person experienced in steel fabrication to detail our incoming jobs and do takeoffs for bidding on projects as well.Must be somewhat experienced. Please reply in detail for interview,thanks.    "
SPANISH SPEAKING NAIL STYLIST NEEDED  (MANICURES&PEDICURES),https://newyork.craigslist.org/mnh/egr/d/new-york-city-spanish-speaking-nail/7059197113.html,Inwood / Wash Hts,Based on experience. Compensation will be discussed during interview.,full-time,"
        
Looking for a nail stylist that can do Manicures, pedicures and acrylic nails. 
Spanish speaking/bilingual preferred. 
Location: Castle Beauty Spa
4931 Broadway, NY, NY 10034
Please call me to setup an interview. 
Estrella  - 347-920-9042

Se solicita tecnica en acrilico y personal para manicure y pedicure. Para trabajo de tiempo completo. 
En: Castle Beauty Spa
4931 Broadway, NY, NY 10034

Para mas informacion llame: Estrella  - 347-920-9042    "
